==Frequent itemsets (min_sup=1.0%)
[DE,N_MENTAL_OBSV,Y_INFRACTION], 8.895%
[MED,Y_INFRACTION,Y_MENTAL_OBSV], 8.8813%
[18-25,DE,Y_INFRACTION], 8.8677%
[BLACK,MED,N_INFRACTION,Y_MENTAL_OBSV], 8.8267%
[BLACK,N_GANG,Y_INFRACTION,Y_MENTAL_OBSV], 8.7858%
[DE,N_GANG,N_INFRACTION,N_MENTAL_OBSV,OTHER], 8.7722%
[26-35,N_GANG,N_INFRACTION,Y_MENTAL_OBSV], 8.7585%
[N_GANG,N_INFRACTION,OTHER,Y_MENTAL_OBSV], 8.6903%
[18-25,MED], 8.6085%
[MED,N_GANG,N_INFRACTION,OTHER], 8.5948%
[18-25,DE,Y_MENTAL_OBSV], 8.5812%
[MAX,N_MENTAL_OBSV], 8.5675%
[36-45,N_INFRACTION,N_MENTAL_OBSV], 8.5675%
[26-35,DE,N_INFRACTION,Y_MENTAL_OBSV], 8.5675%
[DE,MED,N_GANG,Y_INFRACTION], 8.472%
[Y_GANG,Y_INFRACTION,Y_MENTAL_OBSV], 8.4447%
[26-35,BLACK,DE,N_INFRACTION], 8.3492%
[BLACK,MIN,Y_MENTAL_OBSV], 8.3356%
[BLACK,DE,Y_GANG,Y_INFRACTION], 8.3356%
[26-35,MED,N_GANG,N_INFRACTION], 8.322%
[36-45,BLACK,N_GANG,N_INFRACTION], 8.322%
[26-35,N_GANG,N_INFRACTION,N_MENTAL_OBSV], 8.2947%
[26-35,BLACK,Y_INFRACTION], 8.281%
[BLACK,MED,Y_INFRACTION], 8.2674%
[DE,OTHER,Y_INFRACTION], 8.2265%
[36-45,MIN,N_INFRACTION], 8.2265%
[BLACK,MAX,Y_INFRACTION,Y_MENTAL_OBSV], 8.2265%
[N_INFRACTION,nan], 8.2128%
[26-35,Y_GANG], 8.1855%
[36-45,DE,N_INFRACTION,Y_MENTAL_OBSV], 8.1855%
[18-25,MAX], 8.1446%
[26-35,MED,Y_MENTAL_OBSV], 8.0764%
[DE,MIN,OTHER], 8.0628%
[26-35,DE,N_GANG,N_MENTAL_OBSV], 8.0628%
[DE,MAX,Y_GANG,Y_INFRACTION], 8.0491%
[36-45,DE,MED,N_GANG], 8.0355%
[46-55,DE,N_INFRACTION], 8.0218%
[36-45,DE,N_MENTAL_OBSV], 8.0082%
[36-45,MIN,N_GANG,N_INFRACTION], 7.9945%
[26-35,BLACK,N_GANG,N_INFRACTION], 7.9809%
[36-45,OTHER], 7.9673%
[26-35,DE,N_GANG,OTHER], 7.9673%
[DE,MIN,N_GANG,OTHER], 7.9673%
[36-45,MED,N_INFRACTION], 7.9536%
[MAX,N_GANG,Y_INFRACTION], 7.9536%
[36-45,N_GANG,N_INFRACTION,N_MENTAL_OBSV], 7.9127%
[BLACK,MIN,N_GANG,Y_MENTAL_OBSV], 7.9127%
[BLACK,DE,MED,N_MENTAL_OBSV], 7.899%
[26-35,DE,MED,N_INFRACTION], 7.899%
[110-125.25], 7.8308%
[BLACK,DE,MAX,Y_GANG], 7.8308%
[26-35,BLACK,MED], 7.8035%
[26-35,N_GANG,Y_INFRACTION], 7.7899%
